MAE,MSE,RMSE,R2,RMSLE,MAPE
181634.4642,141719901158.0217,376457.0376,0.8736,0.3617,0.3016
221868.9771,385935889475.3325,621237.3858,0.7585,0.3825,0.3193
173066.3168,138433874507.0596,372067.0296,0.8608,0.3306,0.274
167437.3623,85209507102.2582,291906.6753,0.921,0.3547,0.3038
201748.0066,336341317839.9874,579949.4097,0.7766,0.3139,0.2508
189151.0254,217528098016.5319,448323.5076,0.8381,0.3487,0.2899
20079.0837,119990627828.9196,128585.1101,0.0613,0.024,0.0244
